"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"124","15547",TRUE,222,Benevento,BEN,101,Genoa,GEN,2,0,1.55436,0.245022,"2020-12-20 14:00:00",0.7969,0.1724,0.0307
"125","15548",TRUE,116,Cagliari,CAG,99,Udinese,UDI,1,1,0.628497,1.43641,"2020-12-20 14:00:00",0.1436,0.2687,0.5877
"126","15550",TRUE,106,Inter,INT,260,Spezia,,2,1,1.26331,0.779401,"2020-12-20 14:00:00",0.4812,0.3762,0.1426
"127","15554",TRUE,104,Sassuolo,SAS,111,AC Milan,MIL,1,2,1.04718,1.41457,"2020-12-20 14:00:00",0.2452,0.2841,0.4707
"128","15546",TRUE,107,Atalanta,ATA,95,Roma,ROM,4,1,1.91426,0.712758,"2020-12-20 17:00:00",0.7024,0.2023,0.0953
"129","15551",TRUE,96,Lazio,LAZ,105,Napoli,NAP,2,0,0.701577,0.982563,"2020-12-20 19:45:00",0.2458,0.3328,0.4214
"130","15557",TRUE,115,Crotone,CRO,230,Parma Calcio 1913,PAR,2,1,0.7999,1.50226,"2020-12-22 17:30:00",0.1739,0.2813,0.5448
"131","15558",TRUE,98,Juventus,JUV,110,Fiorentina,FIO,0,3,0.388088,1.53117,"2020-12-22 19:45:00",0.066,0.2015,0.7325
"132","15565",TRUE,94,Verona,VER,106,Inter,INT,1,2,1.23629,2.0312,"2020-12-23 17:30:00",0.145,0.2802,0.5748
"133","15556",TRUE,97,Bologna,BOL,107,Atalanta,ATA,2,2,1.08799,1.89381,"2020-12-23 19:45:00",0.1623,0.2479,0.5898
"134","15559",TRUE,111,AC Milan,MIL,96,Lazio,LAZ,3,2,1.88103,1.45797,"2020-12-23 19:45:00",0.4692,0.2898,0.241
"135","15560",TRUE,105,Napoli,NAP,113,Torino,TOR,1,1,0.896358,0.390204,"2020-12-23 19:45:00",0.4649,0.3851,0.15
"136","15561",TRUE,95,Roma,ROM,116,Cagliari,CAG,3,2,3.36165,1.19646,"2020-12-23 19:45:00",0.867,0.097,0.036
"137","15562",TRUE,102,Sampdoria,SAM,104,Sassuolo,SAS,2,3,1.6455,2.16381,"2020-12-23 19:45:00",0.2591,0.2204,0.5205
"138","15563",TRUE,260,Spezia,,101,Genoa,GEN,1,2,0.530442,1.24789,"2020-12-23 19:45:00",0.1132,0.2854,0.6014
"139","15564",TRUE,99,Udinese,UDI,222,Benevento,BEN,0,2,2.4683,0.338064,"2020-12-23 19:45:00",0.8971,0.0845,0.0184
"140","15571",TRUE,106,Inter,INT,115,Crotone,CRO,6,2,2.4614,1.85185,"2021-01-03 11:30:00",0.5128,0.2436,0.2436
"141","15566",TRUE,107,Atalanta,ATA,104,Sassuolo,SAS,5,1,3.50279,0.499119,"2021-01-03 14:00:00",0.9486,0.0421,0.0093
"142","15568",TRUE,116,Cagliari,CAG,105,Napoli,NAP,1,4,0.860583,5.2489,"2021-01-03 14:00:00",0.0014,0.0095,0.9891
