"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14854","1492140","154","231","2020-11-02 20:00:00","4","2020","2","0","Villarreal","Real Valladolid","1.85014","0.793913","0.673","0.2119","0.1151","La liga","11","11","5","1","6","3","10.7941","7.1250"
"1","14864","1492002","207","152","2020-11-06 20:00:00","4","2020","1","1","Elche","Celta Vigo","1.6055","2.15551","0.2441","0.2553","0.5006","La liga","8","14","1","6","4","9","8.7143","12.0000"
"1","14858","1491992","232","156","2020-11-07 13:00:00","4","2020","1","1","SD Huesca","Eibar","2.23211","0.839508","0.7558","0.1865","0.0577","La liga","14","8","6","3","2","1","6.9535","6.8696"
"1","14856","1492327","148","153","2020-11-07 15:15:00","4","2020","5","2","Barcelona","Real Betis","4.44487","0.86991","0.9677","0.0246","0.0077","La liga","18","12","9","6","19","4","19.7333","10.9600"
"1","14861","1491996","138","157","2020-11-07 17:30:00","4","2020","1","0","Sevilla","Osasuna","1.151","0.499107","0.5862","0.2968","0.117","La liga","9","10","1","2","3","5","11.0588","7.5625"
"1","14855","1492326","143","261","2020-11-07 20:00:00","4","2020","4","0","Atletico Madrid","Cadiz","2.62556","0.395983","0.8928","0.0821","0.0251","La liga","17","10","7","3","8","1","22.6190","9.2381"
"1","14857","1492328","142","154","2020-11-08 13:00:00","4","2020","1","3","Getafe","Villarreal","0.55465","2.32114","0.0425","0.1201","0.8374","La liga","13","9","5","5","7","8","11.8333","7.2857"
"1","14860","1491994","140","155","2020-11-08 15:15:00","4","2020","2","0","Real Sociedad","Granada","3.72416","0.780649","0.9614","0.0345","0.0041","La liga","22","2","9","1","18","0","19.6250","6.7333"
"1","14859","1491993","151","158","2020-11-08 17:30:00","4","2020","1","1","Levante","Alaves","1.99148","1.01595","0.6357","0.2272","0.1371","La liga","18","6","5","2","17","3","9.9583","3.3448"
"1","14863","1492000","231","147","2020-11-08 17:30:00","4","2020","2","1","Real Valladolid","Athletic Club","2.28498","1.57936","0.5888","0.2463","0.1649","La liga","7","17","4","2","4","7","5.7857","9.1071"
"1","14862","1491998","146","150","2020-11-08 20:00:00","4","2020","4","1","Valencia","Real Madrid","2.34693","1.05824","0.749","0.1704","0.0806","La liga","7","16","4","6","2","14","6.7407","12.5000"
"1","14872","1492018","157","232","2020-11-20 20:00:00","4","2020","1","1","Osasuna","SD Huesca","0.878778","0.807899","0.3343","0.3479","0.3178","La liga","18","6","7","5","7","1","10.8182","8.8400"
"1","14871","1492016","151","207","2020-11-21 13:00:00","4","2020","1","1","Levante","Elche","0.902091","0.832435","0.3407","0.3533","0.306","La liga","13","11","5","5","11","4","13.4000","9.7429"
"1","14874","1492022","154","150","2020-11-21 15:15:00","4","2020","1","1","Villarreal","Real Madrid","1.72712","0.652049","0.6742","0.237","0.0888","La liga","13","6","1","1","5","5","11.4643","10.0556"
"1","14873","1492020","138","152","2020-11-21 17:30:00","4","2020","4","2","Sevilla","Celta Vigo","2.22603","2.08172","0.4022","0.2559","0.3419","La liga","15","10","10","7","5","3","10.6800","10.4545"
"1","14867","1492008","143","148","2020-11-21 20:00:00","4","2020","1","0","Atletico Madrid","Barcelona","0.812108","1.29964","0.2109","0.2976","0.4915","La liga","9","13","2","4","8","7","18.6667","20.4000"
"1","14868","1492010","156","142","2020-11-22 13:00:00","4","2020","0","0","Eibar","Getafe","1.45225","0.352628","0.7142","0.2194","0.0664","La liga","14","8","5","3","7","3","5.3043","5.6667"
"1","14869","1492012","261","140","2020-11-22 15:15:00","4","2020","0","1","Cadiz","Real Sociedad","0.0824748","1.90588","0.0077","0.1112","0.8811","La liga","2","14","0","4","0","4","4.3478","11.9630"
"1","14870","1492014","155","231","2020-11-22 17:30:00","4","2020","1","3","Granada","Real Valladolid","1.40253","1.45546","0.3436","0.2968","0.3596","La liga","16","9","6","3","5","0","8.9200","4.8000"
"1","14865","1492004","158","146","2020-11-22 20:00:00","4","2020","2","2","Alaves","Valencia","1.82668","1.79824","0.3744","0.2759","0.3497","La liga","13","13","3","5","2","9","6.6471","10.4138"
"1","14866","1492006","147","153","2020-11-23 20:00:00","4","2020","4","0","Athletic Club","Real Betis","2.75202","0.385631","0.944","0.0475","0.0085","La liga","14","7","9","1","6","3","8.2000","9.9355"
"1","14883","1492040","231","151","2020-11-27 20:00:00","4","2020","1","1","Real Valladolid","Levante","1.25969","1.11009","0.3679","0.3378","0.2943","La liga","10","10","4","3","2","2","6.1579","10.0769"
"1","14884","1492042","207","261","2020-11-28 13:00:00","4","2020","1","1","Elche","Cadiz","0.0867292","0.678171","0.0377","0.4501","0.5122","La liga","4","6","3","2","2","1","9.3103","11.2273"
"1","14882","1492038","146","143","2020-11-28 15:15:00","4","2020","0","1","Valencia","Atletico Madrid","0.181436","1.10533","0.0533","0.3188","0.6279","La liga","5","14","2","6","1","9","5.4063","15.9545"
"1","14879","1492032","232","138","2020-11-28 17:30:00","4","2020","0","1","SD Huesca","Sevilla","0.167609","1.69981","0.0208","0.1421","0.8371","La liga","5","16","1","4","2","11","7.0000","19.7647"
"1","14880","1492034","150","158","2020-11-28 20:00:00","4","2020","1","2","Real Madrid","Alaves","1.66068","2.35024","0.2152","0.242","0.5428","La liga","20","11","9","6","8","3","21.3571","10.5714"
"1","14875","1492024","148","157","2020-11-29 13:00:00","4","2020","4","0","Barcelona","Osasuna","3.91416","1.56118","0.8746","0.0889","0.0365","La liga","20","10","11","5","17","3","21.0000","12.9231"
"1","14878","1492030","142","147","2020-11-29 15:15:00","4","2020","1","1","Getafe","Athletic Club","0.536725","0.277502","0.3335","0.513","0.1535","La liga","11","5","3","2","2","4","5.0417","4.6129"
"1","14877","1492028","152","155","2020-11-29 17:30:00","4","2020","3","1","Celta Vigo","Granada","4.64116","1.49416","0.9431","0.0427","0.0142","La liga","17","9","8","2","13","2","17.6842","4.8750"
"1","14881","1492036","140","154","2020-11-29 20:00:00","4","2020","1","1","Real Sociedad","Villarreal","1.91705","1.10165","0.6008","0.2668","0.1324","La liga","8","10","4","2","6","6","11.6818","14.0714"
"1","14876","1492026","153","156","2020-11-30 20:00:00","4","2020","0","2","Real Betis","Eibar","0.51761","3.24869","0.0062","0.0392","0.9546","La liga","7","11","3","6","5","1","12.4583","6.1000"
"1","14892","1492330","147","152","2020-12-04 20:00:00","4","2020","0","2","Athletic Club","Celta Vigo","0.454057","1.20044","0.1088","0.2743","0.6169","La liga","10","6","0","4","8","9","9.0385","8.9259"
"1","14887","1492057","151","142","2020-12-05 13:00:00","4","2020","3","0","Levante","Getafe","2.56696","0.49433","0.8681","0.0987","0.0332","La liga","12","9","8","0","10","4","10.6667","5.3529"
"1","14889","1492061","138","150","2020-12-05 15:15:00","4","2020","0","1","Sevilla","Real Madrid","0.533909","1.69653","0.0684","0.1923","0.7393","La liga","12","10","2","3","6","4","13.8800","6.1515"
"1","14893","1492331","143","231","2020-12-05 17:30:00","4","2020","2","0","Atletico Madrid","Real Valladolid","1.2755","0.440427","0.5942","0.2862","0.1196","La liga","15","13","4","3","10","3","12.2308","15.6250"
"1","14885","1492054","261","148","2020-12-05 20:00:00","4","2020","2","1","Cadiz","Barcelona","2.61118","1.71026","0.6259","0.2045","0.1696","La liga","7","21","3","8","1","27","3.5556","26.6364"
"1","14886","1492055","155","232","2020-12-06 13:00:00","4","2020","3","3","Granada","SD Huesca","1.82994","1.68663","0.4109","0.2465","0.3426","La liga","15","16","6","7","3","3","9.0769","7.3824"
"1","14888","1492059","157","153","2020-12-06 15:15:00","4","2020","0","2","Osasuna","Real Betis","0.366687","1.52162","0.0553","0.2026","0.7421","La liga","10","12","0","5","6","6","8.7727","8.3846"
"1","14890","1492063","154","207","2020-12-06 17:30:00","4","2020","0","0","Villarreal","Elche","0.520422","0.0544723","0.3921","0.5765","0.0314","La liga","12","3","3","0","9","0","18.8125","7.7714"
"1","14891","1492329","158","140","2020-12-06 20:00:00","4","2020","0","0","Alaves","Real Sociedad","0.249462","1.39953","0.0419","0.2115","0.7466","La liga","5","13","1","5","3","6","5.7826","15.7647"
"1","14894","1492332","156","146","2020-12-07 20:00:00","4","2020","0","0","Eibar","Valencia","1.09317","0.648196","0.4626","0.317","0.2204","La liga","19","6","3","4","11","1","11.7222","2.7407"
"1","14896","1492081","231","157","2020-12-11 20:00:00","4","2020","3","2","Real Valladolid","Osasuna","1.87748","1.33403","0.5138","0.253","0.2332","La liga","11","13","6","6","5","7","7.5600","11.7059"
"1","14895","1492079","146","147","2020-12-12 13:00:00","4","2020","2","2","Valencia","Athletic Club","2.17259","1.73307","0.4706","0.2843","0.2451","La liga","11","13","2","5","4","5","5.0000","7.2800"
"1","14901","1492071","142","138","2020-12-12 15:15:00","4","2020","0","1","Getafe","Sevilla","0.374252","0.507527","0.2033","0.5008","0.2959","La liga","8","8","2","0","1","4","4.7500","21.8421"
"1","14902","1492073","232","158","2020-12-12 17:30:00","4","2020","1","0","SD Huesca","Alaves","0.380766","0.171439","0.2743","0.61","0.1157","La liga","11","3","3","1","1","2","11.9655","5.1538"
"1","14903","1492075","150","143","2020-12-12 20:00:00","4","2020","2","0","Real Madrid","Atletico Madrid","0.6517","0.784775","0.2526","0.3694","0.378","La liga","11","5","3","1","6","1","11.8065","9.2941"
"1","14904","1492077","140","156","2020-12-13 13:00:00","4","2020","1","1","Real Sociedad","Eibar","1.33912","1.55401","0.2901","0.2944","0.4155","La liga","8","16","2","4","5","4","9.9000","9.8750"
"1","14899","1492067","153","154","2020-12-13 15:15:00","4","2020","1","1","Real Betis","Villarreal","0.475008","1.10577","0.1364","0.3178","0.5458","La liga","11","7","5","2","2","4","9.0714","14.1818"
"1","14897","1492083","207","155","2020-12-13 17:30:00","4","2020","0","1","Elche","Granada","0.534289","1.40539","0.1189","0.2605","0.6206","La liga","9","12","1","5","1","7","9.5152","5.6667"
"1","14898","1492065","148","151","2020-12-13 20:00:00","4","2020","1","0","Barcelona","Levante","2.62077","0.97888","0.7777","0.1608","0.0615","La liga","24","6","13","3","19","5","18.3750","15.8667"
"1","14900","1492069","152","261","2020-12-14 20:00:00","4","2020","4","0","Celta Vigo","Cadiz","1.51712","0.906249","0.5452","0.2792","0.1756","La liga","7","12","4","2","6","2","16.2500","6.8800"
"1","14906","1492126","150","147","2020-12-15 21:00:00","4","2020","3","1","Real Madrid","Athletic Club","2.58032","0.728304","0.8239","0.1209","0.0552","La liga","18","10","5","4","13","7","18.1111","9.3529"
"1","14905","1492121","148","140","2020-12-16 20:00:00","4","2020","2","1","Barcelona","Real Sociedad","2.58133","1.82452","0.5659","0.2471","0.187","La liga","14","12","4","5","9","11","8.7500","7.8000"
"1","14907","1492085","147","232","2020-12-18 20:00:00","4","2020","2","0","Athletic Club","SD Huesca","1.51945","0.182818","0.8245","0.1533","0.0222","La liga","10","6","3","1","6","4","14.0476","9.1739"
"1","14908","1492087","143","207","2020-12-19 13:00:00","4","2020","3","1","Atletico Madrid","Elche","2.10005","0.522281","0.8218","0.1452","0.033","La liga","12","8","6","3","7","3","23.3571","11.8387"
"1","14909","1492089","148","146","2020-12-19 15:15:00","4","2020","2","2","Barcelona","Valencia","3.2847","1.97181","0.6908","0.1777","0.1315","La liga","25","12","9","4","18","10","12.2609","8.2941"
"1","14914","1492099","151","140","2020-12-19 17:30:00","4","2020","2","1","Levante","Real Sociedad","1.52776","2.1027","0.2393","0.253","0.5077","La liga","13","15","5","5","5","14","8.4000","8.7200"
"1","14915","1492101","157","154","2020-12-19 17:30:00","4","2020","1","3","Osasuna","Villarreal","0.925068","2.79417","0.038","0.1265","0.8355","La liga","6","13","1","6","0","11","7.3529","13.5200"
